obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1996_clarifications_en,latour,network,network,1,3859,elements end up to be networks in the engineer’s On,network,"theory sense, that is the electrical grid. Even at this",0
latour_1996_clarifications_en,latour,network,networks,1,3966,grid. Even at this later stage the engineering definition of,networks,are still a partial projection of an actor-network. The second,0
latour_1996_clarifications_en,latour,network,network,1,4018,definition of networks are still a partial projection of an,network,The second misunderstanding is easy to lift: the actor-network theory,0
latour_1996_clarifications_en,latour,network,network,1,4082,an actor-network. The second misunderstanding is easy to lift: the,network,theory (hence AT) has very little to do with the,0
latour_1996_clarifications_en,latour,network,networks,1,4155,has very little to do with the study of social,networks,These studies no matter how interesting concerns themselves with the,0
latour_1996_clarifications_en,latour,network,network,1,4819,"actor or actant- to non-human, non individual entities. Whereas social",network,adds information on the relations of humans in a social,0
latour_1996_clarifications_en,latour,network,networks,1,5042,societies and natures. It does not wish to add social,networks,to social theory but to rebuild social theory out of,0
latour_1996_clarifications_en,latour,network,networks,1,5104,to social theory but to rebuild social theory out of,networks,"It is as much an ontology or a metaphysics, as",0
latour_1996_clarifications_en,latour,network,networks,1,5181,"much an ontology or a metaphysics, as a sociology. Social",networks,will of course be included in the description but they,0
latour_1996_clarifications_en,latour,network,network,1,5378,tools have been deemed reusable(?)). Why then use the word,network,since it is opened to such misunderstandings? The use of,0
latour_1996_clarifications_en,latour,network,network,1,7054,into our understanding of the social fabrics is through a,network,ontology and social theory. To remain at this very intuitive,0
latour_1996_clarifications_en,latour,network,networks,1,8849,most counter-intuitive aspect of AT. Literally there is nothing but,networks,"there is nothing in between them, or, to use a",0
latour_1996_clarifications_en,latour,network,networks,1,8976,"history of physics, there is no aether in which the",networks,should be immersed. In this sense AT is a reductionist,0
latour_1996_clarifications_en,latour,network,networks,1,9413,will first start by the simplest properties common to all,networks,Far/close: the first advantage of thinking in terms of networks,0
latour_1996_clarifications_en,latour,network,networks,1,9478,networks. Far/close: the first advantage of thinking in terms of,networks,is that we get rid of “the tyranny of distance”,0
latour_1996_clarifications_en,latour,network,networks,1,10537,difficulty we have in defining all associations in terms of,networks,is due to the prevalence of geograpy. It seems obvious,0
latour_1996_clarifications_en,latour,network,networks,1,10932,"be included as one type of connections, one type of",networks,as we will see below. All definitions in terms of,0
latour_1996_clarifications_en,latour,network,networks,1,11138,"geographers. Out of geographers and geography, “in between” there own",networks,there is no such a thing as a proximity or,0
latour_1996_clarifications_en,latour,network,network,1,11357,grid defining a metrics and a scale. The notion of,network,helps us to lift the tyranny of geographers in defining,0
latour_1996_clarifications_en,latour,network,network,1,11756,work of geographers; grid layering and map making is another,network,and not what in which networks are situated Small scale/large,0
latour_1996_clarifications_en,latour,network,networks,1,11786,map making is another network and not what in which,networks,are situated Small scale/large scale: the notion of network allows,0
latour_1996_clarifications_en,latour,network,network,1,11847,which networks are situated Small scale/large scale: the notion of,network,allows us to dissolve the micro- macro distinction that has,0
latour_1996_clarifications_en,latour,network,network,1,12134,institutions etc. is replaced by a metaphor of connections. A,network,"is never bigger than another one, it is simply longer",0
latour_1996_clarifications_en,latour,network,network,1,12714,from being individual -a- to collective -b and back. A,network,notion implies a deeply different social theory: it has no,0
latour_1996_clarifications_en,latour,network,network,1,13165,connected element into a highly connected one and back. A,network,notion is ideally suited to follow the change of scales,0
latour_1996_clarifications_en,latour,network,network,1,13428,connections is left to the actors themselves. The notion of,network,allows us to lift the tyranny of social theorists and,0
latour_1996_clarifications_en,latour,network,network,1,13820,"between the local and the global view, the notion of",network,allows us to think of a global entity -a highly,0
latour_1996_clarifications_en,latour,network,network,1,14222,its importance when losing its connections. Inside/outside: the notion of,network,allows us to get rid of a third spatial dimension,0
latour_1996_clarifications_en,latour,network,network,1,14386,an inside and an outside separated by a boundary. A,network,is all boundary without inside and outside. The only question,0
latour_1996_clarifications_en,latour,network,networks,1,14562,connection is established between two elements. The surface “in between”,networks,is either connected -but then the network is expanding- or,0
latour_1996_clarifications_en,latour,network,network,1,14605,surface “in between” networks is either connected -but then the,network,"is expanding- or non existing. Literally, a network has no",0
latour_1996_clarifications_en,latour,network,network,1,14657,"then the network is expanding- or non existing. Literally, a",network,has no outside. It is not a foreground over a,0
latour_1996_clarifications_en,latour,network,network,1,14926,The great economy of thinking allowed by the notion of,network,is that we are no longer obliged to fill in,0
latour_1996_clarifications_en,latour,network,network,1,15137,familiar to MacPaint users to “fill in” the interspace. A,network,is a positive notion which does not need negativity to,0
latour_1996_clarifications_en,latour,network,network,1,15247,to be understood. It has no shadow. The notion of,network,"in its barest topological outline, allows us already to reshuffle",0
latour_1996_clarifications_en,latour,network,network,1,15966,work however is not captured by the topological notion of,network,no matter how sophisticated we wish to make it. This,0
latour_1996_clarifications_en,latour,network,network,1,16072,This is why AT adds to the mathematical notion of,network,"a completely foreign notion, that of actor. The new hybrid",0
latour_1996_clarifications_en,latour,network,network,1,16146,"a completely foreign notion, that of actor. The new hybrid",network,leads us away from mathematical properties into a world which,0
latour_1996_clarifications_en,latour,network,network,1,16380,properties to dynamic and ontological ones. . . . A,network,in mathematics or in engineering is something that is traced,0
latour_1996_clarifications_en,latour,network,network,1,16526,"inscribed by some other entity -the mathematician, the engineer. An",network,is an entity that does the tracing and the inscribing.,0
latour_1996_clarifications_en,latour,network,network,1,16885,has been open to the same misunderstanding as the word,network,“Actor” in the Anglo-Saxon tradition is always a human intentional,0
latour_1996_clarifications_en,latour,network,network,1,17099,definition of an actor to the social definition of a,network,then the bottom of misunderstanding is reached: an individual human,0
latour_1996_clarifications_en,latour,network,network,1,17223,human -usually male- who wishes to grab power makes a,network,of allies and extend his power -doing some “networking” or,0
latour_1996_clarifications_en,latour,network,networking,1,17275,a network of allies and extend his power -doing some,networking,or “liaising” as Americans say... This is alas the way,0
latour_1996_clarifications_en,latour,network,network,1,18158,at nothing to achieve their ruthless goals... Even my own,network,study of Pasteur -in spite of the lenghtly ontological second,0
latour_1996_clarifications_en,latour,network,networks,1,26765,a third strand is added to those two and that,networks,are made an ontological claims that AT escapes criticisms. This,0
latour_1996_clarifications_en,latour,network,networks,1,29005,with it -building an empty methodological frame to register description.,networks,do connect and by connecting with one another provides an,0
latour_1996_clarifications_en,latour,network,networks,1,29416,others. This is not a property that is distinct from,networks,but one of their essential properties. They become more or,0
latour_1996_clarifications_en,latour,network,network,1,29909,the difference between gravitation and space in relativity theory. Each,network,by growing “binds” so to speak the explanatory ressources around,0
latour_1996_clarifications_en,latour,network,network,1,30071,detached from its growth. One does not jump outside a,network,"to add an explanation -a cause, a factor, a set",0
latour_1996_clarifications_en,latour,network,network,1,30189,"of factors, a series of co-occurences; one simply extends the",network,further. Every network surround itself with its own frame of,0
latour_1996_clarifications_en,latour,network,network,1,30212,series of co-occurences; one simply extends the network further. Every,network,"surround itself with its own frame of reference, its own",0
latour_1996_clarifications_en,latour,network,network,1,30788,There is no way to provide an explanation if the,network,does not extend itself. This is not in contradiction with,0
