obra,palavras_total,inscription,immutable_mobile,black_box,centre_of_calculation,actor_network,translation,trial_of_strength,factish,circulating_reference,articulation,construction,proposition,network,agonistic,enrollment,spokesperson,militar,textil,topologia
latour_woolgar_1986_lab_life_en,105749,125,0,10,0,0,3,0,0,0,0,204,5,45,32,1,1,39,13,146
latour_1987_science_action_en,139861,62,4,134,19,17,78,20,0,0,4,53,5,127,0,44,46,374,111,485
latour_1999_pandora_en,128001,14,3,17,4,31,70,0,53,18,53,62,41,35,0,12,0,212,105,353
latour_1996_clarifications_en,7848,0,0,0,1,19,4,0,0,0,0,2,0,93,0,0,0,3,39,118
latour_1999_recalling_en,1241,0,0,0,0,2,0,0,0,0,0,1,0,7,0,0,0,1,0,13
