obra,pagina,termo,categoria_auto,gatilho_detectado,contexto_antes,trecho_central,contexto_depois,categoria_final,justificativa
latour_1996_clarifications_en,1,allies,metalinguistico,"aspas=4, tar=2",male- who wishes to grab power makes a network of,allies,and extend his power -doing some “networking” or “liaising” as,metalinguistico,"automatico: aspas=4, tar=2"
latour_1996_clarifications_en,1,enemies,conceitual_debate,"ismos=['Reflexivists', 'pre-relativist']",anything to the world. Reflexivists as well as their pre-relativist,enemies,dream of substracting knowledge from the things in themselves. AT,conceitual_debate,"automatico: ismos=['Reflexivists', 'pre-relativist']"
latour_1996_clarifications_en,1,alliance,descritivo_bibliografico,ano_parenteses+editora+autores_sequenciais,"Routledge, London, (1985). Ilya Prigogine et Isabelle Stengers, La nouvelle",alliance,"métamorphose de la science, Gallimard/Bantam, Paris/New-York, (1979). Michel SERRES, HERMES.",descritivo_bibliografico,automatico: ano_parenteses+editora+autores_sequenciais
latour_1999_recalling_en,1,wars,descritivo_historico,casa 'Science Wars',"which it derived, mentioned social constructivism and the recent Science",Wars,Clearly the treatment of the collectiveof scientificreality as a circulation,descritivo_historico,automatico: casa 'Science Wars'
