obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1987_science_action_en,latour,topologia,trajectories,1,682128,"call immutable and combinable mobiles. All these charts, tables and",trajectories,"are conveniently at hand and combinable at will, no matter",0
latour_1987_science_action_en,latour,topologia,path,1,682477,then if Tycho Brahe pushes astronomy further on 'the sure,path,"of .a science'? No, but we should marvel at those",0
latour_1987_science_action_en,latour,topologia,inside,1,682599,means that turn stars and planets into pieces of paper,inside,the observatories that soon will be built everywhere in Europe.,0
latour_1987_science_action_en,latour,topologia,inside,1,684112,"huge quantity of records, polls and charts. Those who sit",inside,"the many Bureaus of Statistics may combine, shuffle around, superimpose",0
latour_1987_science_action_en,latour,topologia,scale,1,684642,"infinitely old or young, they all end up at such",scale,that a few men or women can dominate them by,0
latour_1987_science_action_en,latour,topologia,flat,1,684754,"point or another, they all take the shape of a",flat,"surface of paper that can be archived, pinned on a",0
latour_1987_science_action_en,latour,topologia,surface,1,684759,"or another, they all take the shape of a flat",surface,"of paper that can be archived, pinned on a wall",0
latour_1987_science_action_en,latour,topologia,inside,1,685530,a new way to engrave by aquaforte more accurate plates,inside,"scientific texts, a new projection system that allows maps to",0
latour_1987_science_action_en,latour,topologia,inside,1,686148,from all over the world into the same binary code,inside,"computers, then indeed the handling, the combination, the mobility, the",0
latour_1987_science_action_en,latour,topologia,inside,1,687644,and time exist independently as an unshakable frame of reference,inside,which events and place would occur. This belief makes it,0
latour_1987_science_action_en,latour,topologia,inside,1,687790,understand how different spaces and different times may be produced,inside,"the networks built to mobilise, cumulate and recombine the world.",0
latour_1987_science_action_en,latour,topologia,inside,1,688452,only difference is in the slow construction of a map,inside,"these centres, a map that defines two-way movement to and",0
latour_1987_science_action_en,latour,topologia,inside,1,689851,is already more than most of us can handle); but,inside,"Kew Gardens, the new familiarity constituted by many sheets of",0
latour_1987_science_action_en,latour,topologia,inside,1,690284,again (see Part B). Botany is the local knowledge generated,inside,gathering institutions like the Jardin des Plantes or Kew Gardens.,0
latour_1987_science_action_en,latour,topologia,inside,1,690618,"space and time generated by geology, astronomy, microscopy, etc., back",inside,"their networks - these phentograms, billions of electrovolts, absolute zeros",0
latour_1987_science_action_en,latour,topologia,scales,1,690781,"matter how infinitely big, long or small they are, these",scales,are never much bigger than the few metre squares of,0
latour_1987_science_action_en,latour,topologia,inside,1,690958,"read than a watch. We, the readers, do not live",inside,"space, that has billions of galaxies in it; on the",0
latour_1987_science_action_en,latour,topologia,inside,1,691050,"galaxies in it; on the contrary, this space is generated",inside,"the observatory by having, for instance, a computer count little",0
latour_1987_science_action_en,latour,topologia,inside,1,691758,for a camping trip. Astronomy is the local knowledge produced,inside,"these centres that gather photographs, spectra, radio signals, infrared pictures,",0
latour_1987_science_action_en,latour,topologia,scale,1,692214,that is when the eye sees it at the familiar,scale,"and distance. Nothing is unfamiliar, infinite, gigantic or far away",0
latour_1987_science_action_en,latour,topologia,flow,1,693312,objects to their desks with one crucial change: the irreversible,flow,of time was now synoptically presented to their eyes. It,0
latour_1987_science_action_en,latour,topologia,connections,1,696396,"like the houses and the people, and establishing stable two-way",connections,between some elements of the scale model and those of,0
latour_1987_science_action_en,latour,topologia,scale,1,696437,and establishing stable two-way connections between some elements of the,scale,"model and those of the full-scale port, like the width",0
latour_1987_science_action_en,latour,topologia,scale,1,696471,some elements of the scale model and those of the,scale,"port, like the width of the channel, the strength of",0
latour_1987_science_action_en,latour,topologia,flows,1,696534,"like the width of the channel, the strength of the",flows,the duration of the tides. Other features which cannot be,0
latour_1987_science_action_en,latour,topologia,connections,1,696950,fresh water in every part of the Lilliputian harbour. Two-way,connections,"are established between these sensors and the much fewer, bigger",0
latour_1987_science_action_en,latour,topologia,scale,1,697078,bigger and costlier ones that have been put into the,scale,harbour. Since the scale model is still too big to,0
latour_1987_science_action_en,latour,topologia,scale,1,697103,that have been put into the full-scale harbour. Since the,scale,model is still too big to be taken in at,0
latour_1987_science_action_en,latour,topologia,flow,1,697838,else. How can this be done? Simply by reversing the,flow,"of time. Professor Bijker and his colleagues dominate the problem,",0
latour_1987_science_action_en,latour,topologia,scale,1,698059,much smaller than the landscape. Whatever may happen in the,scale,"space-time, the engineers will have already seen it. They will",0
latour_1987_science_action_en,latour,topologia,inside,1,698579,"they have already made all possible blunders and mistakes, safely",inside,"the wooden hall in Delft, consuming only plaster and a",0
latour_1987_science_action_en,latour,topologia,inside,1,699360,"local knowledge of everyone else, but instead that they travel",inside,"narrow and fragile networks, resembling the galleries termites build to",0
latour_1987_science_action_en,latour,topologia,inside,1,699480,termites build to link their nests to their feeding sites.,Inside,"these networks, they make traces of all sorts circulate better",0
latour_1987_science_action_en,latour,topologia,circulate,1,699533,"sites. Inside these networks, they make traces of all sorts",circulate,"better by increasing their mobility, their speed, their reliability, their",0
latour_1987_science_action_en,latour,topologia,inside,1,700927,led back to the centres where these cycles started from;,inside,"these centres, specimens, maps, diagrams, logs, questionnaires and paper forms",0
latour_1987_science_action_en,latour,topologia,path,1,701141,to escalate the proof race; every domain enters the 'sure,path,of a science' when its spokespersons have so many allies,0
latour_1987_science_action_en,latour,topologia,scale,1,702259,"up to something, masses of inscriptions pour in, tipping the",scale,once again by forcing the world to come to the,0
latour_1987_science_action_en,latour,topologia,inside,1,702529,mind if we want to understand what is going on,inside,the centres. (1) Tying all the allies firmly together When,0
latour_1987_science_action_en,latour,topologia,inside,1,703070,of paper. Remember that the few men and women sitting,inside,"Natural History Museums, Geological Surveys, Census Bureaus or other laboratories",0
latour_1987_science_action_en,latour,topologia,scale,1,703224,especially huge brains. As soon as the number or the,scale,"of elements to handle increases, they get lost like anyone",0
latour_1987_science_action_en,latour,topologia,inside,1,704121,"Because of this situation, additional work has to be done",inside,the centres to mop up the inscriptions and reverse the,0
latour_1987_science_action_en,latour,topologia,inside,1,708442,"call it, the general shape is easy to grasp: people",inside,the centres are busy building elements with such properties that,0
latour_1987_science_action_en,latour,topologia,inside,1,708616,"in some way, hold the others, building, in effect, centres",inside,the centres. One more example will give a more precise,0
latour_1987_science_action_en,latour,topologia,proximity,1,711878,space is thus locally created; new relations of distance and,proximity,"new neighbourhoods, new families are devised: a periodicity (hence the",0
latour_1987_science_action_en,latour,topologia,boundaries,1,712182,Versailles can do things with the map (for instance draw,boundaries,to partition the Pacific) that neither the Chinese nor Lapérouse,0
latour_1987_science_action_en,latour,topologia,scale,1,713514,there is no guarantee that the events of the Delft,scale,model will be mimicked by the Rotterdam harbour in the,0
latour_1987_science_action_en,latour,topologia,flat,1,714029,"instance, the supplement offered by the map is on the",flat,surface of paper which is easily dominated by the eyes,0
latour_1987_science_action_en,latour,topologia,surface,1,714034,the supplement offered by the map is on the flat,surface,of paper which is easily dominated by the eyes and,0
latour_1987_science_action_en,latour,topologia,inside,1,715052,"hard in their offices. (B) CALCULATING, AT LAST .. .",Inside,"the centres, logistics requires the fast mobilisation of the largest",0
latour_1987_science_action_en,latour,topologia,fluid,1,717410,"example, the work of Reynolds, a British engineer specialising in",fluid,"mechanics who, at the turn of the century, studied the",0
latour_1987_science_action_en,latour,topologia,scale,1,717569,can you relate the many instances of turbulence observed in,scale,"models, or along rivers? These instances are already summed up",0
latour_1987_science_action_en,latour,topologia,flow,1,717732,'the more . . . the less'. The faster the,flow,the more turbulence there is; the bigger the obstacle encountered,0
latour_1987_science_action_en,latour,topologia,flow,1,717810,turbulence there is; the bigger the obstacle encountered by the,flow,the more turbulence there will be; the denser a fluid,0
latour_1987_science_action_en,latour,topologia,fluid,1,717863,flow the more turbulence there will be; the denser a,fluid,"the more prone to turbulence it is; finally, the more",0
latour_1987_science_action_en,latour,topologia,fluid,1,717942,"prone to turbulence it is; finally, the more viscous a",fluid,the less turbulence there will be (oil turns smoothly around,0
latour_1987_science_action_en,latour,topologia,connections,1,719260,"this section, something is gained because each translation reshuffles the",connections,between elements (thus creating a new space-time). Situations which appeared,0
latour_1987_science_action_en,latour,topologia,scale,1,719975,"aircraft engineer in a wind tunnel, to decide how to",scale,down a given situation. As long as the scale model,0
latour_1987_science_action_en,latour,topologia,scale,1,720020,to scale down a given situation. As long as the,scale,"model retains the same Reynolds as the full-scale situation, we",0
latour_1987_science_action_en,latour,topologia,scale,1,720070,as the scale model retains the same Reynolds as the,scale,"situation, we can work on the model even if it",0
latour_1987_science_action_en,latour,topologia,scale,1,721083,"instance, the Reynolds number allows scientists to go from one",scale,model to another and to travel fast from one instance,0
